timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381039.616681, lauv-fridtjof, 71, 1482.640015
1756381039.654294, lauv-fridtjof, 61, 1480.681519
1756381039.675018, lauv-fridtjof, 71, 1482.739990
1756381039.724963, lauv-fridtjof, 71, 1482.780029
1756381039.783225, lauv-fridtjof, 71, 1482.869995
1756381039.841551, lauv-fridtjof, 71, 1482.920044
1756381039.854511, lauv-fridtjof, 61, 1480.666992
1756381039.899969, lauv-fridtjof, 71, 1483.060059
1756381039.949884, lauv-fridtjof, 71, 1483.130005
1756381040.008276, lauv-fridtjof, 71, 1483.270020
1756381040.053123, lauv-fridtjof, 61, 1480.627930
1756381040.066588, lauv-fridtjof, 71, 1483.329956
1756381040.124983, lauv-fridtjof, 71, 1483.390015
1756381040.175011, lauv-fridtjof, 71, 1483.380005
1756381040.234404, lauv-fridtjof, 71, 1483.380005
1756381040.256010, lauv-fridtjof, 61, 1480.585938
1756381040.291647, lauv-fridtjof, 71, 1483.349976
1756381040.349960, lauv-fridtjof, 71, 1483.300049
1756381040.400023, lauv-fridtjof, 71, 1483.280029
1756381040.450524, lauv-fridtjof, 61, 1480.555054
1756381040.458979, lauv-fridtjof, 71, 1483.290039
1756381040.516655, lauv-fridtjof, 71, 1483.310059
1756381040.574997, lauv-fridtjof, 71, 1483.349976
1756381040.624916, lauv-fridtjof, 71, 1483.400024
1756381040.653976, lauv-fridtjof, 61, 1480.476685
1756381040.683266, lauv-fridtjof, 71, 1483.560059
1756381040.741582, lauv-fridtjof, 71, 1483.729980
1756381040.799993, lauv-fridtjof, 71, 1484.229980
1756381040.849935, lauv-fridtjof, 71, 1484.689941
1756381040.853479, lauv-fridtjof, 61, 1480.421997
1756381040.909037, lauv-fridtjof, 71, 1486.020020
1756381040.966561, lauv-fridtjof, 71, 1486.660034
1756381041.024926, lauv-fridtjof, 71, 1487.920044
1756381041.062922, lauv-fridtjof, 61, 1480.337280
1756381041.074996, lauv-fridtjof, 71, 1488.390015
1756381041.134109, lauv-fridtjof, 71, 1488.949951
1756381041.191630, lauv-fridtjof, 71, 1489.180054
1756381041.249932, lauv-fridtjof, 71, 1489.630005
1756381041.259374, lauv-fridtjof, 61, 1480.222046
1756381041.300027, lauv-fridtjof, 71, 1489.880005
1756381041.358734, lauv-fridtjof, 71, 1490.569946
1756381041.416614, lauv-fridtjof, 71, 1490.989990
1756381041.463388, lauv-fridtjof, 61, 1480.126953
1756381041.474993, lauv-fridtjof, 71, 1491.739990
1756381041.524931, lauv-fridtjof, 71, 1492.089966
1756381041.583689, lauv-fridtjof, 71, 1492.510010
1756381041.641579, lauv-fridtjof, 71, 1492.630005
1756381041.658109, lauv-fridtjof, 61, 1480.032471
1756381041.699981, lauv-fridtjof, 71, 1492.760010
1756381041.749941, lauv-fridtjof, 71, 1492.819946
1756381041.808280, lauv-fridtjof, 71, 1492.939941
1756381041.854718, lauv-fridtjof, 61, 1479.921387
1756381041.866575, lauv-fridtjof, 71, 1493.000000
1756381041.924934, lauv-fridtjof, 71, 1493.199951
1756381041.974986, lauv-fridtjof, 71, 1493.300049
1756381042.033268, lauv-fridtjof, 71, 1493.510010
1756381042.057153, lauv-fridtjof, 61, 1479.827515
1756381042.091618, lauv-fridtjof, 71, 1493.619995
1756381042.149920, lauv-fridtjof, 71, 1493.790039
1756381042.199982, lauv-fridtjof, 71, 1493.829956
1756381042.255245, lauv-fridtjof, 61, 1479.700317
1756381042.258363, lauv-fridtjof, 71, 1493.869995
1756381042.316619, lauv-fridtjof, 71, 1493.880005
1756381042.375175, lauv-fridtjof, 71, 1493.890015
1756381042.424948, lauv-fridtjof, 71, 1493.900024
1756381042.456639, lauv-fridtjof, 61, 1479.620972
1756381042.483229, lauv-fridtjof, 71, 1493.910034
1756381042.541577, lauv-fridtjof, 71, 1493.920044
1756381042.599946, lauv-fridtjof, 71, 1493.930054
1756381042.649947, lauv-fridtjof, 71, 1493.939941
1756381042.652498, lauv-fridtjof, 61, 1479.493530
1756381042.708313, lauv-fridtjof, 71, 1493.959961
1756381042.766626, lauv-fridtjof, 71, 1493.959961
1756381042.824917, lauv-fridtjof, 71, 1493.969971
1756381042.853681, lauv-fridtjof, 61, 1479.390015
1756381042.874999, lauv-fridtjof, 71, 1493.969971
1756381042.933292, lauv-fridtjof, 71, 1493.969971
1756381042.991641, lauv-fridtjof, 71, 1493.969971
1756381043.049967, lauv-fridtjof, 71, 1493.979980
1756381043.053382, lauv-fridtjof, 61, 1479.296631
1756381043.099985, lauv-fridtjof, 71, 1493.979980
1756381043.158262, lauv-fridtjof, 71, 1493.979980
1756381043.216678, lauv-fridtjof, 71, 1493.989990
1756381043.255414, lauv-fridtjof, 61, 1479.187378
1756381043.274998, lauv-fridtjof, 71, 1494.000000
1756381043.325006, lauv-fridtjof, 71, 1494.010010
1756381043.383276, lauv-fridtjof, 71, 1494.020020
1756381043.441578, lauv-fridtjof, 71, 1494.020020
1756381043.449568, lauv-fridtjof, 61, 1479.094116
1756381043.500037, lauv-fridtjof, 71, 1494.020020
1756381043.549909, lauv-fridtjof, 71, 1494.020020
1756381043.608236, lauv-fridtjof, 71, 1494.030029
1756381043.654134, lauv-fridtjof, 61, 1479.010254
1756381043.666591, lauv-fridtjof, 71, 1494.030029
1756381043.724961, lauv-fridtjof, 71, 1494.040039
1756381043.775043, lauv-fridtjof, 71, 1494.040039
1756381043.833276, lauv-fridtjof, 71, 1494.050049
1756381043.853340, lauv-fridtjof, 61, 1478.932739
1756381043.892754, lauv-fridtjof, 71, 1494.050049
1756381043.949944, lauv-fridtjof, 71, 1494.050049
1756381044.000898, lauv-fridtjof, 71, 1494.050049
1756381044.057492, lauv-fridtjof, 61, 1478.866089
1756381044.060818, lauv-fridtjof, 71, 1494.050049
1756381044.116663, lauv-fridtjof, 71, 1494.050049
1756381044.174995, lauv-fridtjof, 71, 1494.060059
1756381044.224958, lauv-fridtjof, 71, 1494.060059
1756381044.251346, lauv-fridtjof, 61, 1478.786011
1756381044.283310, lauv-fridtjof, 71, 1494.060059
1756381044.341595, lauv-fridtjof, 71, 1494.060059
1756381044.400012, lauv-fridtjof, 71, 1494.060059
1756381044.449939, lauv-fridtjof, 71, 1494.060059
1756381044.456312, lauv-fridtjof, 61, 1478.736938
1756381044.508300, lauv-fridtjof, 71, 1494.069946
1756381044.566615, lauv-fridtjof, 71, 1494.069946
1756381044.624953, lauv-fridtjof, 71, 1494.069946
1756381044.651136, lauv-fridtjof, 61, 1478.675171
1756381044.675332, lauv-fridtjof, 71, 1494.069946
1756381044.733926, lauv-fridtjof, 71, 1494.069946
1756381044.791652, lauv-fridtjof, 71, 1494.069946
1756381044.849926, lauv-fridtjof, 71, 1494.069946
1756381044.855283, lauv-fridtjof, 61, 1478.630493
1756381044.901659, lauv-fridtjof, 71, 1494.069946
1756381044.958288, lauv-fridtjof, 71, 1494.069946
1756381045.017447, lauv-fridtjof, 71, 1494.069946
1756381045.052999, lauv-fridtjof, 61, 1478.581177
1756381045.074995, lauv-fridtjof, 71, 1494.069946
1756381045.125074, lauv-fridtjof, 71, 1494.069946
1756381045.183242, lauv-fridtjof, 71, 1494.069946
1756381045.241612, lauv-fridtjof, 71, 1494.079956
1756381045.256996, lauv-fridtjof, 61, 1478.537476
1756381045.299950, lauv-fridtjof, 71, 1494.069946
1756381045.349939, lauv-fridtjof, 71, 1494.069946
1756381045.408282, lauv-fridtjof, 71, 1494.069946
1756381045.452178, lauv-fridtjof, 61, 1478.506348
1756381045.466585, lauv-fridtjof, 71, 1494.079956
1756381045.524977, lauv-fridtjof, 71, 1494.069946
1756381045.575022, lauv-fridtjof, 71, 1494.069946
1756381045.633777, lauv-fridtjof, 71, 1494.079956
