timestamp (seconds since 01/01/1970), system, entity , value (m)
1756381053.059174, lauv-fridtjof, 71, 1.880257
1756381053.117630, lauv-fridtjof, 71, 1.880257
1756381053.174819, lauv-fridtjof, 71, 1.890206
1756381053.224787, lauv-fridtjof, 71, 1.900154
1756381053.283161, lauv-fridtjof, 71, 1.900154
1756381053.341791, lauv-fridtjof, 71, 1.900154
1756381053.399824, lauv-fridtjof, 71, 1.900154
1756381053.449842, lauv-fridtjof, 71, 1.900154
1756381053.508116, lauv-fridtjof, 71, 1.910103
1756381053.566469, lauv-fridtjof, 71, 1.920051
1756381053.625087, lauv-fridtjof, 71, 1.920051
1756381053.674832, lauv-fridtjof, 71, 1.910103
1756381053.733111, lauv-fridtjof, 71, 1.910103
1756381053.792956, lauv-fridtjof, 71, 1.920051
1756381053.849824, lauv-fridtjof, 71, 1.920051
1756381053.899791, lauv-fridtjof, 71, 1.920051
1756381053.958067, lauv-fridtjof, 71, 1.920051
1756381054.016530, lauv-fridtjof, 71, 1.929999
1756381054.074905, lauv-fridtjof, 71, 1.929999
1756381054.124841, lauv-fridtjof, 71, 1.929999
1756381054.183270, lauv-fridtjof, 71, 1.920051
1756381054.241508, lauv-fridtjof, 71, 1.920051
1756381054.299813, lauv-fridtjof, 71, 1.929999
1756381054.349772, lauv-fridtjof, 71, 1.929999
1756381054.408171, lauv-fridtjof, 71, 1.929999
1756381054.466527, lauv-fridtjof, 71, 1.929999
1756381054.524797, lauv-fridtjof, 71, 1.939948
1756381054.574906, lauv-fridtjof, 71, 1.939948
1756381054.633226, lauv-fridtjof, 71, 1.929999
1756381054.691495, lauv-fridtjof, 71, 1.929999
1756381054.749765, lauv-fridtjof, 71, 1.929999
1756381054.799810, lauv-fridtjof, 71, 1.949896
1756381054.858118, lauv-fridtjof, 71, 1.949896
1756381054.916616, lauv-fridtjof, 71, 1.949896
1756381054.975032, lauv-fridtjof, 71, 1.949896
1756381055.024844, lauv-fridtjof, 71, 1.949896
1756381055.083141, lauv-fridtjof, 71, 1.939948
1756381055.141547, lauv-fridtjof, 71, 1.929999
1756381055.199827, lauv-fridtjof, 71, 1.939948
1756381055.249849, lauv-fridtjof, 71, 1.939948
1756381055.308223, lauv-fridtjof, 71, 1.949896
1756381055.367301, lauv-fridtjof, 71, 1.949896
1756381055.424794, lauv-fridtjof, 71, 1.949896
1756381055.474898, lauv-fridtjof, 71, 1.949896
1756381055.533121, lauv-fridtjof, 71, 1.949896
1756381055.591515, lauv-fridtjof, 71, 1.949896
1756381055.649822, lauv-fridtjof, 71, 1.939948
1756381055.699779, lauv-fridtjof, 71, 1.939948
1756381055.758072, lauv-fridtjof, 71, 1.929999
