timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381061.453371, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64678288, -0.06132427, -0.06990045
1756381061.658398, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64999914, -0.06768444, -0.07017868
1756381061.853767, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64846861, -0.06691864, -0.06259535
1756381062.057486, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64213276, -0.05496731, -0.06349941
1756381062.251991, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.63752127, -0.0653393, -0.07003359
1756381062.458967, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.63493061, -0.05060637, -0.0567602
1756381062.654443, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.63584399, -0.05219442, -0.04848578
1756381062.859442, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64335799, -0.05718192, -0.04996263
1756381063.055246, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65153313, -0.06162089, -0.0559403
1756381063.259380, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64273703, -0.06543031, -0.05521353
1756381063.453355, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65581512, -0.08337715, -0.05953882
1756381063.659371, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65408754, -0.07922351, -0.05837797
1756381063.853484, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65212858, -0.07766134, -0.05757397
1756381064.059063, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6478821, -0.0719088, -0.04741643
1756381064.257048, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65538001, -0.08572233, -0.0455125
1756381064.458668, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65778017, -0.06983903, -0.0497603
1756381064.655339, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66783571, -0.06083208, -0.04830844
1756381064.859301, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66113067, -0.0575079, -0.04996658
1756381065.058105, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66686571, -0.07620382, -0.05721405
1756381065.258469, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65271306, -0.08318064, -0.06074898
1756381065.457394, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65069175, -0.06876037, -0.06383647
1756381065.654440, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64684153, -0.06565592, -0.05403537
1756381065.860418, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65155876, -0.07041436, -0.05555335
1756381066.054708, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64395368, -0.05964956, -0.05613411
1756381066.259224, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64612007, -0.05017892, -0.0608683
1756381066.456601, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.63904369, -0.04040629, -0.06338969
1756381066.659942, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65409505, -0.03984886, -0.06657052
