timestamp (seconds since 01/01/1970), system, entity , type (bitfield), reason (enumerated), value (m/s), timestep (s)
1756381929.852649, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.145111, 0.100095
1756381929.978891, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.145302, 0.153572
1756381930.104544, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.145271, 0.096443
1756381930.231049, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.145302, 0.149897
1756381930.358505, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.145340, 0.100139
1756381931.369540, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.900574, 0.149922
1756381931.749680, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.708878, 0.100070
1756381932.884937, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.107910, 0.149985
1756381933.267829, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.231586, 0.149685
1756381933.392505, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.231586, 0.100303
1756381933.661343, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929646, 0.100398
1756381933.787429, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.602318, 0.149928
1756381933.789716, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929638, 0.149906
1756381934.678167, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.767963, 0.000000
1756381934.803545, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929585, 0.100052
1756381945.831720, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.768089, 0.000000
1756381945.955497, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929718, 0.100124
1756381946.081359, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929722, 0.149936
1756381946.212566, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929726, 0.100091
1756381946.338354, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929729, 0.149935
1756381946.464994, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929733, 0.149674
1756381946.595311, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929733, 0.100382
1756381946.719398, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929737, 0.149885
1756381946.846329, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929737, 0.100088
1756381946.975770, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929733, 0.149927
1756381947.098519, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929729, 0.100111
1756381947.224140, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929722, 0.149905
1756381947.351020, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929714, 0.100038
1756381947.477653, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929699, 0.149963
1756381947.604064, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929684, 0.100050
1756381947.735653, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929661, 0.149949
1756381947.861236, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929638, 0.100086
1756381947.985235, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929611, 0.149897
1756381948.114583, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929569, 0.100621
1756381948.240260, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929543, 0.149470
1756381948.368000, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929516, 0.149855
1756381948.493945, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929482, 0.100150
1756381948.621218, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929462, 0.149861
1756381948.747234, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929451, 0.100117
1756381948.875735, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929451, 0.149957
1756381949.000164, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929451, 0.100043
1756381949.127784, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.929462, 0.149882
1756381951.134022, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961323, 0.149882
1756381951.537961, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961300, 0.400013
1756381951.662466, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961292, 0.100062
1756381951.794157, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961285, 0.150012
1756381951.917114, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961273, 0.149871
1756381952.042669, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961266, 0.100041
1756381952.168679, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.535892, 0.149945
1756381952.170347, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961254, 0.150028
1756381967.505971, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.768055, 0.000000
1756381967.632097, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961346, 0.149843
1756381967.763348, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961334, 0.100121
1756381967.890973, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961327, 0.149993
1756381968.017519, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961319, 0.149893
1756381968.143566, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961315, 0.100077
1756381968.273738, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961311, 0.149975
1756381968.393798, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961311, 0.100118
1756381968.527620, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961311, 0.149824
1756381968.652829, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961311, 0.100082
1756381968.775341, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961308, 0.150029
1756381968.906020, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961304, 0.100047
1756381969.032508, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961304, 0.149841
1756381969.155459, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961300, 0.100130
1756381969.287292, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961285, 0.150018
1756381969.416645, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.961262, 0.149872
1756381973.203180, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126823, 0.100997
1756381973.594779, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126842, 0.399094
1756381973.714172, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126858, 0.100966
1756381973.835739, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126877, 0.148959
1756381973.974893, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.644070, 0.149986
1756381973.976620, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126911, 0.150009
1756381974.101067, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126926, 0.100737
1756381974.225769, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126934, 0.149324
1756381974.358106, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126919, 0.099998
1756381974.480475, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126892, 0.149990
1756381974.612045, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126881, 0.100023
1756381974.739323, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126865, 0.149938
1756381974.862779, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126858, 0.100121
1756381974.990644, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126858, 0.150445
1756381975.118689, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126862, 0.149355
1756381975.239119, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126858, 0.100065
1756381975.370058, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126854, 0.150202
1756381975.492287, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.636303, 0.099825
1756381975.493935, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.126869, 0.099896
1756382016.821142, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.600876, 0.149771
1756382017.200059, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.606800, 0.100093
1756382017.327830, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.606808, 0.149817
