timestamp (seconds since 01/01/1970), system, entity , utc_time (s), reason (enumerated)
1756381461.001323, lauv-fridtjof, 49, 42258.000000, INVALID
1756381462.010414, lauv-fridtjof, 49, 42259.000000, INVALID
1756381462.997710, lauv-fridtjof, 49, 42260.000000, INVALID
1756381463.998717, lauv-fridtjof, 49, 42261.000000, INVALID
1756381464.998930, lauv-fridtjof, 49, 42262.000000, INVALID
1756381466.002034, lauv-fridtjof, 49, 42263.000000, INVALID
1756381467.005113, lauv-fridtjof, 49, 42264.000000, INVALID
1756381467.997414, lauv-fridtjof, 49, 42265.000000, INVALID
1756381468.995505, lauv-fridtjof, 49, 42266.000000, INVALID
1756381470.000644, lauv-fridtjof, 49, 42267.000000, INVALID
1756381471.000563, lauv-fridtjof, 49, 42268.000000, INVALID
1756381472.001909, lauv-fridtjof, 49, 42269.000000, INVALID
1756381473.006071, lauv-fridtjof, 49, 42270.000000, INVALID
1756381474.003179, lauv-fridtjof, 49, 42271.000000, INVALID
1756381475.003363, lauv-fridtjof, 49, 42272.000000, INVALID
1756381475.996553, lauv-fridtjof, 49, 42273.000000, INVALID
1756381476.994699, lauv-fridtjof, 49, 42274.000000, INVALID
1756381477.997976, lauv-fridtjof, 49, 42275.000000, INVALID
1756381478.995235, lauv-fridtjof, 49, 42276.000000, INVALID
1756381480.002473, lauv-fridtjof, 49, 42277.000000, INVALID
1756381480.999568, lauv-fridtjof, 49, 42278.000000, INVALID
1756381482.001392, lauv-fridtjof, 49, 42279.000000, INVALID
1756381482.996339, lauv-fridtjof, 49, 42280.000000, INVALID
1756381483.998688, lauv-fridtjof, 49, 42281.000000, INVALID
1756381484.996529, lauv-fridtjof, 49, 42282.000000, INVALID
1756381485.997026, lauv-fridtjof, 49, 42283.000000, INVALID
1756381486.996910, lauv-fridtjof, 49, 42284.000000, INVALID
1756381487.997421, lauv-fridtjof, 49, 42285.000000, INVALID
1756381488.995499, lauv-fridtjof, 49, 42286.000000, INVALID
1756381489.999565, lauv-fridtjof, 49, 42287.000000, INVALID
1756381491.003791, lauv-fridtjof, 49, 42288.000000, INVALID
1756381491.998903, lauv-fridtjof, 49, 42289.000000, INVALID
1756381492.999027, lauv-fridtjof, 49, 42290.000000, INVALID
1756381494.002230, lauv-fridtjof, 49, 42291.000000, INVALID
1756381494.997321, lauv-fridtjof, 49, 42292.000000, INVALID
1756381496.002495, lauv-fridtjof, 49, 42293.000000, INVALID
1756381496.999246, lauv-fridtjof, 49, 42294.000000, INVALID
1756381498.007050, lauv-fridtjof, 49, 42295.000000, INVALID
1756381499.004901, lauv-fridtjof, 49, 42296.000000, INVALID
1756381500.004010, lauv-fridtjof, 49, 42297.000000, INVALID
1756381501.001291, lauv-fridtjof, 49, 42298.000000, INVALID
1756381502.006402, lauv-fridtjof, 49, 42299.000000, INVALID
1756381503.010819, lauv-fridtjof, 49, 42300.000000, INVALID
1756381504.008703, lauv-fridtjof, 49, 42301.000000, INVALID
1756381504.997894, lauv-fridtjof, 49, 42302.000000, INVALID
1756381506.006973, lauv-fridtjof, 49, 42303.000000, INVALID
1756381507.005089, lauv-fridtjof, 49, 42304.000000, INVALID
1756381508.002469, lauv-fridtjof, 49, 42305.000000, INVALID
1756381509.001528, lauv-fridtjof, 49, 42306.000000, INVALID
1756381510.001630, lauv-fridtjof, 49, 42307.000000, INVALID
1756381510.995653, lauv-fridtjof, 49, 42308.000000, INVALID
1756381512.003837, lauv-fridtjof, 49, 42309.000000, INVALID
1756381512.998016, lauv-fridtjof, 49, 42310.000000, INVALID
1756381514.004732, lauv-fridtjof, 49, 42311.000000, INVALID
1756381515.008327, lauv-fridtjof, 49, 42312.000000, INVALID
1756381516.000709, lauv-fridtjof, 49, 42313.000000, INVALID
1756381516.999774, lauv-fridtjof, 49, 42314.000000, INVALID
1756381518.003876, lauv-fridtjof, 49, 42315.000000, INVALID
1756381518.998863, lauv-fridtjof, 49, 42316.000000, INVALID
1756381520.001044, lauv-fridtjof, 49, 42317.000000, INVALID
1756381520.996279, lauv-fridtjof, 49, 42318.000000, INVALID
1756381522.009405, lauv-fridtjof, 49, 42319.000000, INVALID
1756381522.999629, lauv-fridtjof, 49, 42320.000000, INVALID
1756381524.006930, lauv-fridtjof, 49, 42321.000000, INVALID
1756381525.004738, lauv-fridtjof, 49, 42322.000000, INVALID
1756381526.005938, lauv-fridtjof, 49, 42323.000000, INVALID
1756381527.004112, lauv-fridtjof, 49, 42324.000000, INVALID
1756381528.004175, lauv-fridtjof, 49, 42325.000000, INVALID
1756381529.004311, lauv-fridtjof, 49, 42326.000000, INVALID
1756381530.002476, lauv-fridtjof, 49, 42327.000000, INVALID
1756381531.000847, lauv-fridtjof, 49, 42328.000000, INVALID
1756381532.007005, lauv-fridtjof, 49, 42329.000000, INVALID
1756381533.013351, lauv-fridtjof, 49, 42330.000000, INVALID
1756381534.006641, lauv-fridtjof, 49, 42331.000000, INVALID
1756381535.005226, lauv-fridtjof, 49, 42332.000000, INVALID
1756381536.005444, lauv-fridtjof, 49, 42333.000000, INVALID
1756381537.005562, lauv-fridtjof, 49, 42334.000000, INVALID
1756381537.999558, lauv-fridtjof, 49, 42335.000000, INVALID
1756381538.998730, lauv-fridtjof, 49, 42336.000000, INVALID
1756381540.001023, lauv-fridtjof, 49, 42337.000000, INVALID
1756381541.002011, lauv-fridtjof, 49, 42338.000000, INVALID
1756381541.999261, lauv-fridtjof, 49, 42339.000000, INVALID
1756381542.993411, lauv-fridtjof, 49, 42340.000000, INVALID
1756381543.999443, lauv-fridtjof, 49, 42341.000000, INVALID
1756381545.000679, lauv-fridtjof, 49, 42342.000000, INVALID
1756381546.003956, lauv-fridtjof, 49, 42343.000000, INVALID
1756381546.997035, lauv-fridtjof, 49, 42344.000000, INVALID
1756381548.005157, lauv-fridtjof, 49, 42345.000000, INVALID
1756381548.997159, lauv-fridtjof, 49, 42346.000000, INVALID
1756381549.999502, lauv-fridtjof, 49, 42347.000000, INVALID
1756381550.997632, lauv-fridtjof, 49, 42348.000000, INVALID
1756381552.000761, lauv-fridtjof, 49, 42349.000000, INVALID
1756381552.998749, lauv-fridtjof, 49, 42350.000000, INVALID
1756381554.001641, lauv-fridtjof, 49, 42351.000000, INVALID
1756381554.999151, lauv-fridtjof, 49, 42352.000000, INVALID
1756381556.005288, lauv-fridtjof, 49, 42353.000000, INVALID
1756381557.010533, lauv-fridtjof, 49, 42354.000000, INVALID
1756381557.999520, lauv-fridtjof, 49, 42355.000000, INVALID
1756381558.993726, lauv-fridtjof, 49, 42356.000000, INVALID
1756381560.005085, lauv-fridtjof, 49, 42357.000000, INVALID
1756381560.996995, lauv-fridtjof, 49, 42358.000000, INVALID
1756381561.998152, lauv-fridtjof, 49, 42359.000000, INVALID
1756381562.999268, lauv-fridtjof, 49, 42360.000000, INVALID
1756381563.997377, lauv-fridtjof, 49, 42361.000000, INVALID
1756381565.003588, lauv-fridtjof, 49, 42362.000000, INVALID
1756381566.004741, lauv-fridtjof, 49, 42363.000000, INVALID
1756381566.998863, lauv-fridtjof, 49, 42364.000000, INVALID
1756381568.001002, lauv-fridtjof, 49, 42365.000000, INVALID
1756381569.002134, lauv-fridtjof, 49, 42366.000000, INVALID
1756381570.000412, lauv-fridtjof, 49, 42367.000000, INVALID
1756381570.997470, lauv-fridtjof, 49, 42368.000000, INVALID
1756381572.004611, lauv-fridtjof, 49, 42369.000000, INVALID
1756381572.997776, lauv-fridtjof, 49, 42370.000000, INVALID
1756381573.998878, lauv-fridtjof, 49, 42371.000000, INVALID
1756381574.997023, lauv-fridtjof, 49, 42372.000000, INVALID
1756381576.000249, lauv-fridtjof, 49, 42373.000000, INVALID
1756381577.004330, lauv-fridtjof, 49, 42374.000000, INVALID
1756381578.008474, lauv-fridtjof, 49, 42375.000000, INVALID
1756381578.997524, lauv-fridtjof, 49, 42376.000000, INVALID
1756381579.999737, lauv-fridtjof, 49, 42377.000000, INVALID
1756381581.004922, lauv-fridtjof, 49, 42378.000000, INVALID
1756381582.004032, lauv-fridtjof, 49, 42379.000000, INVALID
1756381582.997349, lauv-fridtjof, 49, 42380.000000, INVALID
1756381584.002317, lauv-fridtjof, 49, 42381.000000, INVALID
1756381585.005481, lauv-fridtjof, 49, 42382.000000, INVALID
1756381586.004667, lauv-fridtjof, 49, 42383.000000, INVALID
1756381587.001821, lauv-fridtjof, 49, 42384.000000, INVALID
1756381588.006966, lauv-fridtjof, 49, 42385.000000, INVALID
1756381589.000136, lauv-fridtjof, 49, 42386.000000, INVALID
1756381590.010899, lauv-fridtjof, 49, 42387.000000, INVALID
1756381591.003401, lauv-fridtjof, 49, 42388.000000, INVALID
1756381591.998610, lauv-fridtjof, 49, 42389.000000, INVALID
1756381593.006813, lauv-fridtjof, 49, 42390.000000, INVALID
1756381594.006984, lauv-fridtjof, 49, 42391.000000, INVALID
1756381595.004002, lauv-fridtjof, 49, 42392.000000, INVALID
1756381596.003155, lauv-fridtjof, 49, 42393.000000, INVALID
1756381596.997276, lauv-fridtjof, 49, 42394.000000, INVALID
1756381598.007385, lauv-fridtjof, 49, 42395.000000, INVALID
1756381599.006623, lauv-fridtjof, 49, 42396.000000, INVALID
1756381600.006783, lauv-fridtjof, 49, 42397.000000, INVALID
1756381600.999876, lauv-fridtjof, 49, 42398.000000, INVALID
1756381602.000173, lauv-fridtjof, 49, 42399.000000, INVALID
1756381602.999270, lauv-fridtjof, 49, 42400.000000, INVALID
1756381604.004285, lauv-fridtjof, 49, 42401.000000, INVALID
1756381605.000494, lauv-fridtjof, 49, 42402.000000, INVALID
1756381606.004650, lauv-fridtjof, 49, 42403.000000, INVALID
1756381606.997713, lauv-fridtjof, 49, 42404.000000, INVALID
1756381608.001897, lauv-fridtjof, 49, 42405.000000, INVALID
1756381609.002020, lauv-fridtjof, 49, 42406.000000, INVALID
1756381609.999150, lauv-fridtjof, 49, 42407.000000, INVALID
1756381610.997464, lauv-fridtjof, 49, 42408.000000, INVALID
1756381611.995676, lauv-fridtjof, 49, 42409.000000, INVALID
1756381612.996140, lauv-fridtjof, 49, 42410.000000, INVALID
1756381613.995840, lauv-fridtjof, 49, 42411.000000, INVALID
1756381614.994934, lauv-fridtjof, 49, 42412.000000, INVALID
1756381616.004121, lauv-fridtjof, 49, 42413.000000, INVALID
1756381616.999222, lauv-fridtjof, 49, 42414.000000, INVALID
1756381617.999506, lauv-fridtjof, 49, 42415.000000, INVALID
1756381618.998536, lauv-fridtjof, 49, 42416.000000, INVALID
